a,e,i,per,q,ad,H,category,kmeans_cluster,pca_1,pca_2
3.142739569933653,0.1152742735284791,0.7367666201102834,2034.984086812852,2.780462549120346,3.50501659074696,7.22,neos,0,-0.5546825293075762,-1.9695632219788484
2.400040252028399,0.2541175666230742,21.60849021729832,1358.082694209634,1.790147863385512,3.009932640671285,7.87,neos,0,-0.24947388252120525,-0.17889620818790367
2.656402902623489,0.088516547920932,3.554581085326787,1581.391303064049,2.421267287796113,2.891538517450864,7.48,neos,0,-0.8219961526394293,-1.8499199078016073
2.347533777939334,0.1715064042776271,1.583332180066094,1313.760505043066,1.944916700764685,2.750150855113982,7.03,neos,0,-0.8780556067787195,-1.46836074668843
2.777103583368453,0.1490093397396874,9.423413451406432,1690.388560882068,2.363289212022,3.190917954714906,7.23,neos,0,-0.5108322493904099,-1.4310670221081434
2.553919004277654,0.0734638314989937,6.07774990974286,1490.764720898039,2.366298328885323,2.741539679669986,5.97,neos,0,-0.8626571608974349,-2.313542931212762
2.365989473465406,0.126805954390681,2.093591273542311,1329.283576416294,2.065967920204321,2.666011026726492,7.57,neos,0,-0.9423118806094264,-1.557932866383861
3.161074445528014,0.215982864867672,26.31586773869279,2052.818310038798,2.478336530722886,3.843812360333143,6.81,neos,0,0.1966516748748374,-0.7803869394845087
2.586789639143297,0.0816192931047225,5.522291671666406,1519.637828913041,2.375657697385801,2.797921580900794,7.76,neos,0,-0.831184123821015,-1.7326412059114427
2.875286805541823,0.332289759201988,1.851035221527333,1780.820654027799,1.919858445291677,3.830715165791968,8.48,neos,0,-0.26071307837764046,-0.15620297909926348
2.686343083103146,0.1068260282661615,5.497262578757079,1608.20216628851,2.399371720974962,2.97331444523133,8.77,neos,0,-0.7210929205429807,-1.2933902062430027
3.008678118884699,0.217767762813204,7.860542988266733,1906.171703144426,2.353485015910139,3.663871221859258,8.68,neos,0,-0.27507361695830596,-0.6587342664263981
2.745172541726457,0.3063778536812288,18.37276961560135,1661.318480779851,1.904112470407662,3.586232613045253,8.57,neos,0,-0.02466249949720378,0.1919763738920822
