section,Body,Image,Radius,Volume,Mass,Surface area,Density,Gravity,Type,Discovery,Radius ( km ),Mass (10 18 kg),Density (g/cm 3 ),Refs r · M,Mass ( 10 18 kg ),Mass ( 10 15 kg ),Type – notes,Radius ( m ),Mass ( 10 9 kg )
Below_1_km,Hartley 2 103P,wikipedia_images\60px-Comet_Hartley_2_%28super_crop%29.jpg,,,,,,,,,,,,·,,,Jupiter-family comet,570 ± 80,≈ 300
Below_1_km,2003 SD 220 163899,wikipedia_images\60px-PIA20279.jpg,,,,,,,,,,,,,,,Aten asteroid type S,515,
Below_1_km,Nyx 3908,wikipedia_images\60px-3908_nyx-s02.jpg,,,,,,,,,,,,,,,Amor asteroid type V,500 ± 75,
Below_1_km,2001 WN 5 153814,,,,,,,,,,,,,,,,Apollo asteroid,466 ± 5.5,
Below_1_km,2017 YE 5,wikipedia_images\60px-PIA22559.gif,,,,,,,,,,,,,,,Apollo asteroid type S ; binary,450 ± 25,
Below_1_km,Ryugu 162173,wikipedia_images\60px-Ryugu_colored.jpg,,,,,,,,,,,,·,,,Apollo asteroid type Cg,432.5 ± 7.5,≈ 450
Below_1_km,1997 AE 12 162058,,,,,,,,,,,,,,,,Amor asteroid type S,423.5 ± 6.5,
Below_1_km,2014 JO 25,wikipedia_images\60px-PIA21597_-_New_Radar_Images_of_Asteroid_2014_JO25_%28cropped%29.gif,,,,,,,,,,,,,,,Apollo asteroid type S ; contact binary,409,
Below_1_km,Hermes 69230,wikipedia_images\60px-Hermes_planetoid.jpg,,,,,,,,,,,,,,,Apollo asteroid type Sq,400 ± 50,
Below_1_km,Didymos 65803,wikipedia_images\60px-Didymos-Dimorphos_0401929889_03770_crop.png,,,,,,,,,,,,·,,,Apollo asteroid type Xk ; binary,390 ± 4,527
Below_1_km,Aten 2062,,,,,,,,,,,,,,,,Aten asteroid type S,365 ± 15,
Below_1_km,Aegaeon Saturn LIII,wikipedia_images\60px-N1643264379_1.jpg,,,,,,,,,,,,,,,moon of Saturn,330 ± 60,
Below_1_km,2015 TB 145,wikipedia_images\60px-Skull2015-TB145.jpg,,,,,,,,,,,,,,,Apollo asteroid type S,325 ± 15,
Below_1_km,1994 CC 136617,wikipedia_images\60px-1994CC-with-moons.gif,,,,,,,,,,,,·,,,Apollo asteroid type Sq ; trinary,310 ± 30,266 ± 32.9
Below_1_km,2001 WR 1 172034,,,,,,,,,,,,,,,,Amor asteroid type S,315.5 ± 9,
Below_1_km,Golevka 6489,wikipedia_images\60px-Asteroid-golevka.jpeg,,,,,,,,,,,,,,,Apollo asteroid type Q,265 ± 15,
Below_1_km,Bennu 101955,wikipedia_images\60px-Bennu_mosaic_OSIRIS-REx_%28square%29.png,,,,,,,,,,,,·,,,Apollo asteroid type B,262.5 ± 37.5,78 ± 9
Below_1_km,2000 WO 107 153201,wikipedia_images\60px-2000WO107-20201128.jpg,,,,,,,,,,,,,,,Aten asteroid type X,255 ± 41.5,
Below_1_km,2002 CU 11 163132,,,,,,,,,,,,,,,,Apollo asteroid,230 ± 8.5,
Below_1_km,Squannit Moshup I,wikipedia_images\60px-1999kw4_vlt-eso1910.jpg,,,,,,,,,,,,,,,asteroid moon of 66391 Moshup,225.5 ± 13.5,
Below_1_km,2014 HQ 124,wikipedia_images\60px-PIA17829-Asteroid-2013YP139-20131229.jpg,,,,,,,,,,,,,,,Aten asteroid type S,204.5 ± 84,
Below_1_km,2013 YP 139,wikipedia_images\60px-PIA18412-Asteroid2014HQ124-20140608.jpg,,,,,,,,,,,,,,,Apollo asteroid,201 ± 13,
Below_1_km,2008 EV 5 341843,wikipedia_images\60px-Asteroid-2008EV5-ShapeModel-20111006.gif,,,,,,,,,,,,,,,Aten asteroid type X / type C,200 ± 7,
Below_1_km,2006 DP 14 388188,wikipedia_images\60px-Asteroid2006DP14.jpg,,,,,,,,,,,,,,,Apollo asteroid type S ; contact binary,≈ 200,
Below_1_km,1988 EG 6037,,,,,,,,,,,,,,,,Apollo asteroid type S,199.5 ± 1.35,
Below_1_km,2010 TK 7 706765,wikipedia_images\60px-PIA14405-full_crop.jpg,,,,,,,,,,,,,,,Aten asteroid ; Earth trojan ( L 4 ),189.5 ± 61.5,
Below_1_km,2006 SU 49 292220,,,,,,,,,,,,,·,,,Apollo asteroid,≈ 188.5,≈ 73
Below_1_km,2005 YU 55 308635,wikipedia_images\60px-2005YU55-20111107.jpg,,,,,,,,,,,,,,,Apollo asteroid type C,180 ± 20,
Below_1_km,2010 SO 16,,,,,,,,,,,,,,,,Apollo asteroid; co-orbital with Earth,178.5 ± 63,
Below_1_km,Itokawa 25143,wikipedia_images\60px-Itokawa06_hayabusa.jpg,,,,,,,,,,,,·,,,Apollo asteroid type S,173,35.1 ± 1.05
Below_1_km,Apophis 99942,wikipedia_images\60px-99942_Apophis_shape.png,,,,,,,,,,,,·,,,Aten asteroid type Sq,162.5 ± 7.5,≈ 61
Below_1_km,S/2009 S 1,wikipedia_images\60px-PIA11665_moonlet_in_B_Ring_cropped.jpg,,,,,,,,,,,,,,,moon of Saturn,≈ 150,
Below_1_km,2005 WK 4 277475,wikipedia_images\60px-Radar_Goldstone_%28277475%29_2005_WK4.jpg,,,,,,,,,,,,,,,Apollo asteroid type S,142,
Below_1_km,2004 BL 86 357439,wikipedia_images\60px-Radar_images_of_2004_BL86_and_its_moon_2.gif,,,,,,,,,,,,,,,Apollo asteroid type V ; binary,131.5 ± 13,
Below_1_km,2007 TU 24,wikipedia_images\60px-2007_TU24_radar_image_20080128.jpg,,,,,,,,,,,,,,,Apollo asteroid type S,125,
Below_1_km,Zoozve 524522,,,,,,,,,,,,,,,,Aten asteroid type X ; co-orbital with Venus,≈ 118,
Below_1_km,2011 UW 158 436724,wikipedia_images\60px-2011UW158.jul14.p05us.p27Hz%281%29.gif,,,,,,,,,,,,,,,Apollo asteroid type S,110 ± 20,
Below_1_km,Dimorphos Didymos I,,,,,,,,,,,,,,,,asteroid moon of 65803 Didymos,85 ± 15,
Below_1_km,2017 BQ 6,wikipedia_images\60px-2017_BQ6_radar_rotation.gif,,,,,,,,,,,,,,,Apollo asteroid type S,78,
Below_1_km,YORP 54509,wikipedia_images\60px-54509_YORP_image_radar_and_3D_model.gif,,,,,,,,,,,,,,,Apollo asteroid type S,61.8,
Below_1_km,Kamoʻoalewa 469219,,,,,,,,,,,,,,,,Apollo asteroid type S ; quasi-satellite of Earth,41,
Below_1_km,Duende 367943,wikipedia_images\60px-Radar-2012DA14-Goldstone.jpg,,,,,,,,,,,,,,,Aten asteroid type L,23.75,
Below_1_km,1998 KY 26,wikipedia_images\60px-Asteroid_1998_KY26.faces_model.jpg,,,,,,,,,,,,,,,Apollo asteroid type X,≈ 15,
Below_1_km,2012 TC 4,wikipedia_images\60px-2012_TC4_radar_animation_before_closest_approach.gif,,,,,,,,,,,,,,,Apollo asteroid type E / type Xe,11.5,
Below_1_km,2014 RC,,,,,,,,,,,,,,,,Apollo asteroid type Sq,≈ 11,
Below_1_km,2010 RF 12,,,,,,,,,,,,,,,,Apollo asteroid,≈ 3.5,≈ 0.0005
Below_1_km,2011 MD,wikipedia_images\60px-PIA18453-Asteroid2011MD-SpitzerSpaceTelescope-IRAC-Feb2014.jpg,,,,,,,,,,,,,,,Apollo asteroid/ Amor asteroid type S,3 +2 −1,
Below_1_km,2008 TC 3,wikipedia_images\60px-2008_TC3_Tumbling_%28reduced%29.gif,,,,,,,,,,,,·,,,Apollo asteroid type F / type M,2.05,0.00008
Below_1_km,2023 BU,,,,,,,,,,,,,,,,Apollo asteroid,1.5,
Below_1_km,2008 TS 26,,,,,,,,,,,,,,,,Apollo asteroid,≈ 0.49,
Below_1_km,2015 FF 415,,,,,,,,,,,,,,,,Near-Earth object,≈ 0.25,
