id,name,alternative_names,object_type,is_planet,data_source,data_quality,mean_radius_km,mass_kg,density_g_cm3,gravity_m_s2,escape_velocity_km_s,avg_temperature_k,semimajor_axis_km,perihelion_km,aphelion_km,eccentricity,inclination_deg,discovered_by,discovery_date,has_image,clustering_enabled,last_updated,sbdb_class,is_neo,is_pha,diameter_km,absolute_magnitude_H,albedo,rotation_period_h,semimajor_axis_au,orbital_period_days,perihelion_distance_au,aphelion_distance_au,argument_periapsis_deg,longitude_ascending_node_deg,mean_anomaly_deg,has_orbital_data,is_anomaly,anomaly_type,display_name,search_keywords,ui_category
erinome,Erinome,"['Erinomé', 'Erinome']",Moon,False,OpenData,Primary,1.6,0.0,1.0,0.0,0.0,0.0,23279000.0,0.0,0.0,0.266,164.9,"Scott S. Sheppard, David C. Jewitt",23/11/2000,False,False,2025-08-04T16:11:00.707168,,,,,,,,,,,,,,,,False,,Erinome,"pha,erinome,potentially hazardous,near earth,erinomé,neo,moon",Lunas
isonoe,Isonoe,"['Isonoé', 'Isonoe']",Moon,False,OpenData,Primary,1.9,0.0,1.0,0.0,0.0,0.0,23217000.0,0.0,0.0,0.246,165.2,"Scott S. Sheppard, David C. Jewitt",23/11/2000,False,False,2025-08-04T16:11:00.707206,,,,,,,,,,,,,,,,False,,Isonoe,"pha,potentially hazardous,isonoé,near earth,neo,isonoe,moon",Lunas
praxidike,Praxidike,"['Praxidyké', 'Praxidike']",Moon,False,OpenData,Primary,3.4,0.0,1.0,0.0,0.0,0.0,21147000.0,0.0,0.0,0.23,149.0,"Scott S. Sheppard, David C. Jewitt",23/11/2000,False,False,2025-08-04T16:11:00.707254,,,,,,,,,,,,,,,,False,,Praxidike,"pha,potentially hazardous,near earth,neo,praxidike,praxidyké,moon",Lunas
autonoe,Autonoe,"['Autonoé', 'Autonoe']",Moon,False,OpenData,Primary,2.0,0.0,1.0,0.0015,0.0,0.0,23039000.0,0.0,0.0,0.334,152.9,"Scott S. Sheppard, David C. Jewitt",10/12/2001,False,False,2025-08-04T16:11:00.707295,,,,,,,,,,,,,,,,False,,Autonoe,"pha,potentially hazardous,near earth,autonoé,neo,autonoe,moon",Lunas
thyone,Thyone,"['Thyoné', 'Thyone']",Moon,False,OpenData,Primary,2.0,0.0,1.0,0.0015,0.0,0.0,20940000.0,0.0,0.0,0.229,148.5,"Scott S. Sheppard, David C. Jewitt",11/12/2001,False,False,2025-08-04T16:11:00.707333,,,,,,,,,,,,,,,,False,,Thyone,"thyoné,pha,potentially hazardous,near earth,neo,thyone,moon",Lunas
hermippe,Hermippe,"['Hermippé', 'Hermippe']",Moon,False,OpenData,Primary,2.0,0.0,1.0,0.0015,0.0,0.0,21131000.0,0.0,0.0,0.21,150.7,"Scott S. Sheppard, David C. Jewitt",19/12/2001,False,False,2025-08-04T16:11:00.707370,,,,,,,,,,,,,,,,False,,Hermippe,"pha,potentially hazardous,near earth,neo,hermippe,moon,hermippé",Lunas
aitne,Aitne,"['Aitné', 'Aitne']",Moon,False,OpenData,Primary,1.5,0.0,1.0,0.0012,0.0,0.0,23231000.0,0.0,0.0,0.264,165.1,"Scott S. Sheppard, David C. Jewitt",19/12/2001,False,False,2025-08-04T16:11:00.707407,,,,,,,,,,,,,,,,False,,Aitne,"pha,potentially hazardous,near earth,aitne,aitné,neo,moon",Lunas
eurydome,Eurydome,"['Eurydomé', 'Eurydome']",Moon,False,OpenData,Primary,1.5,0.0,1.0,0.0012,0.0,0.0,22865000.0,0.0,0.0,0.276,150.3,"Scott S. Sheppard, David C. Jewitt",19/12/2001,False,False,2025-08-04T16:11:00.707449,,,,,,,,,,,,,,,,False,,Eurydome,"pha,potentially hazardous,near earth,neo,moon,eurydomé,eurydome",Lunas
euanthe,Euanthe,"['Euanthé', 'Euanthe']",Moon,False,OpenData,Primary,1.5,0.0,1.0,0.0012,0.0,0.0,20799000.0,0.0,0.0,0.232,148.9,"Scott S. Sheppard, David C. Jewitt",11/12/2001,False,False,2025-08-04T16:11:00.707491,,,,,,,,,,,,,,,,False,,Euanthe,"pha,euanthé,potentially hazardous,near earth,euanthe,neo,moon",Lunas
euporie,Euporie,"['Euporie', 'Euporie']",Moon,False,OpenData,Primary,1.0,0.0,1.0,0.0,0.0,0.0,19302000.0,0.0,0.0,0.144,145.8,"Scott S. Sheppard, David C. Jewitt",11/12/2001,False,False,2025-08-04T16:11:00.707529,,,,,,,,,,,,,,,,False,,Euporie,"pha,potentially hazardous,euporie,near earth,neo,moon",Lunas
orthosie,Orthosie,"['Orthosie', 'Orthosie']",Moon,False,OpenData,Primary,1.0,0.0,1.0,0.00081,0.0,0.0,20721000.0,0.0,0.0,0.281,145.9,"Scott S. Sheppard, David C. Jewitt",11/12/2001,False,False,2025-08-04T16:11:00.707567,,,,,,,,,,,,,,,,False,,Orthosie,"pha,potentially hazardous,near earth,orthosie,neo,moon",Lunas
sponde,Sponde,"['Spondé', 'Sponde']",Moon,False,OpenData,Primary,1.0,0.0,1.0,0.00081,0.0,0.0,23487000.0,0.0,0.0,0.312,151.0,"Scott S. Sheppard, David C. Jewitt",19/12/2001,False,False,2025-08-04T16:11:00.707604,,,,,,,,,,,,,,,,False,,Sponde,"pha,potentially hazardous,near earth,sponde,neo,moon,spondé",Lunas
cale,Kale,"['Calé', 'Kale']",Moon,False,OpenData,Primary,1.0,0.0,1.0,0.00081,0.0,0.0,23217000.0,0.0,0.0,0.26,165.0,"Scott S. Sheppard, David C. Jewitt",19/12/2001,False,False,2025-08-04T16:11:00.707641,,,,,,,,,,,,,,,,False,,Kale,"pha,potentially hazardous,near earth,calé,neo,moon,kale",Lunas
pasithee,Pasithee,"['Pasithée', 'Pasithee']",Moon,False,OpenData,Primary,1.0,0.0,1.0,0.00081,0.0,0.0,23096000.0,0.0,0.0,0.267,165.1,"Scott S. Sheppard, David C. Jewitt",11/12/2001,False,False,2025-08-04T16:11:00.707678,,,,,,,,,,,,,,,,False,,Pasithee,"pha,potentially hazardous,near earth,pasithee,neo,pasithée,moon",Lunas
hegemone,Hegemone,"['Hégémone', 'Hegemone']",Moon,False,OpenData,Primary,2.0,0.0,1.0,0.0,0.0,0.0,23947000.0,0.0,0.0,0.328,155.2,"Scott S. Sheppard, David C. Jewitt",2003,False,False,2025-08-04T16:11:00.707714,,,,,,,,,,,,,,,,False,,Hegemone,"pha,potentially hazardous,near earth,hegemone,neo,hégémone,moon",Lunas
mneme,Mneme,"['Mnémé', 'Mneme']",Moon,False,OpenData,Primary,2.0,0.0,1.0,0.0,0.0,0.0,21069000.0,0.0,0.0,0.227,148.6,"Scott S. Sheppard, David C. Jewitt",2003,False,False,2025-08-04T16:11:00.707752,,,,,,,,,,,,,,,,False,,Mneme,"pha,potentially hazardous,near earth,mneme,neo,moon,mnémé",Lunas
aoede,Aoede,"['Aoedé', 'Aoede']",Moon,False,OpenData,Primary,2.0,0.0,1.0,0.0,0.0,0.0,23981000.0,0.0,0.0,0.432,158.3,"Scott S. Sheppard, David C. Jewitt",2003,False,False,2025-08-04T16:11:00.707788,,,,,,,,,,,,,,,,False,,Aoede,"pha,potentially hazardous,near earth,aoedé,neo,aoede,moon",Lunas
thelxinoe,Thelxinoe,"['Thelxinoé', 'Thelxinoe']",Moon,False,OpenData,Primary,2.0,0.0,1.0,0.0,0.0,0.0,21162000.0,0.0,0.0,0.221,151.4,"Scott S. Sheppard, David C. Jewitt",2003,False,False,2025-08-04T16:11:00.707825,,,,,,,,,,,,,,,,False,,Thelxinoe,"pha,potentially hazardous,near earth,thelxinoe,neo,thelxinoé,moon",Lunas
arche,Arche,"['Arché', 'Arche']",Moon,False,OpenData,Primary,1.5,0.0,1.0,0.0012,0.0,0.0,22931000.0,0.0,0.0,0.259,165.0,"Scott S. Sheppard, David C. Jewitt",31/10/2002,False,False,2025-08-04T16:11:00.707872,,,,,,,,,,,,,,,,False,,Arche,"arché,pha,potentially hazardous,near earth,neo,moon,arche",Lunas
callichore,Kallichore,"['Callichore', 'Kallichore']",Moon,False,OpenData,Primary,2.0,0.0,1.0,0.0,0.0,0.0,24043000.0,0.0,0.0,0.264,165.5,"Scott S. Sheppard, David C. Jewitt",2003,False,False,2025-08-04T16:11:00.707911,,,,,,,,,,,,,,,,False,,Kallichore,"kallichore,pha,potentially hazardous,near earth,neo,callichore,moon",Lunas
helice,Helike,"['Hélicé', 'Helike']",Moon,False,OpenData,Primary,4.0,0.0,1.0,0.0,0.0,0.0,21263000.0,0.0,0.0,0.156,154.8,"Scott S. Sheppard, David C. Jewitt",2003,False,False,2025-08-04T16:11:00.707948,,,,,,,,,,,,,,,,False,,Helike,"helike,hélicé,pha,potentially hazardous,near earth,neo,moon",Lunas
carpo,Carpo,"['Carpo', 'Carpo']",Moon,False,OpenData,Primary,3.0,0.0,1.0,0.0,0.0,0.0,16989000.0,0.0,0.0,0.43,51.4,"Scott S. Sheppard, David C. Jewitt",2003,False,False,2025-08-04T16:11:00.707985,,,,,,,,,,,,,,,,False,,Carpo,"pha,potentially hazardous,near earth,neo,carpo,moon",Lunas
eukelade,Eukelade,"['Eukéladé', 'Eukelade']",Moon,False,OpenData,Primary,4.0,0.0,1.0,0.0,0.0,0.0,23661000.0,0.0,0.0,0.272,165.5,"Scott S. Sheppard, David C. Jewitt",2003,False,False,2025-08-04T16:11:00.708023,,,,,,,,,,,,,,,,False,,Eukelade,"pha,potentially hazardous,near earth,eukelade,neo,moon,eukéladé",Lunas
cyllene,Cyllene,"['Cyllène', 'Cyllene']",Moon,False,OpenData,Primary,1.0,0.0,1.0,0.0,0.0,0.0,24349000.0,0.0,0.0,0.319,149.3,"Scott S. Sheppard, David C. Jewitt",2003,False,False,2025-08-04T16:11:00.708062,,,,,,,,,,,,,,,,False,,Cyllene,"pha,potentially hazardous,near earth,cyllene,neo,cyllène,moon",Lunas
core,Kore,"['Coré', 'Kore']",Moon,False,OpenData,Primary,1.0,0.0,1.0,0.0,0.0,0.0,24543000.0,0.0,0.0,0.325,145.0,"Scott S. Sheppard, David C. Jewitt",2003,False,False,2025-08-04T16:11:00.708100,,,,,,,,,,,,,,,,False,,Kore,"pha,potentially hazardous,near earth,coré,neo,kore,moon",Lunas
herse,Herse,"['Hersé', 'Herse']",Moon,False,OpenData,Primary,2.0,0.0,1.0,0.0,0.0,0.0,23097000.0,0.0,0.0,0.2,164.2,"Scott S. Sheppard, David C. Jewitt",2003,False,False,2025-08-04T16:11:00.708138,,,,,,,,,,,,,,,,False,,Herse,"herse,hersé,pha,potentially hazardous,near earth,neo,moon",Lunas
s2003j2,S/2003 J 2,"['S/2003 J 2', 'S/2003 J 2']",Moon,False,OpenData,Primary,1.0,0.0,1.0,0.0,0.0,0.0,28570410.0,0.0,0.0,0.38,151.8,"Scott S. Sheppard, David C. Jewitt",2003,False,False,2025-08-04T16:11:00.708176,,,,,,,,,,,,,,,,False,,S/2003 J 2,"pha,potentially hazardous,near earth,neo,s/2003 j 2,moon",Lunas
eupheme,Eupheme,"['Euphémé', 'Eupheme']",Moon,False,OpenData,Primary,1.0,0.0,1.0,0.0,0.0,0.0,21199710.0,0.0,0.0,0.253,148.0,"Scott S. Sheppard, David C. Jewitt",2003,False,False,2025-08-04T16:11:00.708213,,,,,,,,,,,,,,,,False,,Eupheme,"eupheme,pha,potentially hazardous,near earth,neo,euphémé,moon",Lunas
