id,name,alternative_names,object_type,is_planet,data_source,data_quality,mean_radius_km,mass_kg,density_g_cm3,gravity_m_s2,escape_velocity_km_s,avg_temperature_k,semimajor_axis_km,perihelion_km,aphelion_km,eccentricity,inclination_deg,discovered_by,discovery_date,has_image,clustering_enabled,last_updated,sbdb_class,is_neo,is_pha,diameter_km,absolute_magnitude_H,albedo,rotation_period_h,semimajor_axis_au,orbital_period_days,perihelion_distance_au,aphelion_distance_au,argument_periapsis_deg,longitude_ascending_node_deg,mean_anomaly_deg,has_orbital_data,is_anomaly,anomaly_type,display_name,search_keywords,ui_category,rarity_score
20000944,944 Hidalgo (A920 UB),"[944, '   944 Hidalgo (A920 UB)']",NEO,,SBDB,Primary,,,,,,,,,,0.6622543829494995,42.54802533545957,,,,True,2025-08-04T16:11:00.759525,CEN,False,False,38.0,10.55,0.06,10.063,5.728181240850815,5007.529920176203,1.93466810776826,9.52169437393337,56.56739171643946,21.3899053032339,171.0003046541289,True,True,DBSCAN_Outlier,944 Hidalgo (A920 Ub),"neo,anomaly,unusual,rare,944 hidalgo (a920 ub),944",Objetos Cercanos,0.0
20000945,945 Barcelona (A921 CB),"[945, '   945 Barcelona (A921 CB)']",NEO,,SBDB,Primary,,,,,,,,,,0.1606913960080886,32.84007964715272,,,,True,2025-08-04T16:11:00.759562,MBA,False,False,25.618,9.97,0.239,7.36,2.63835892418572,1565.305972441665,2.214397345487918,3.062320502883522,162.6827825428857,318.2160523992113,131.4101254100627,True,True,DBSCAN_Outlier,945 Barcelona (A921 Cb),"945 barcelona (a921 cb),945,neo,anomaly,unusual,rare",Objetos Cercanos,0.0
20001009,1009 Sirene (A923 UE),"[1009, '  1009 Sirene (A923 UE)']",NEO,,SBDB,Primary,,,,,,,,,,0.4529511574264896,15.71570512531357,,,,True,2025-08-04T16:11:00.761998,MCA,False,False,,14.19,,2.8791,2.628562852810087,1556.596236258495,1.437952266261483,3.819173439358692,186.6269024369138,229.2730591964158,299.1455019425117,True,True,DBSCAN_Outlier,1009 Sirene (A923 Ue),"1009,1009 sirene (a923 ue),neo,anomaly,unusual,rare",Objetos Cercanos,0.0
20001036,1036 Ganymed (A924 UB),"[1036, '  1036 Ganymed (A924 UB)']",NEO,,SBDB,Primary,,,,,,,,,,0.5329907224613039,26.68214802215928,,,,True,2025-08-04T16:11:00.763018,AMO,True,False,37.675,9.18,0.238,10.297,2.665800727933956,1589.790692990966,1.244953672014567,4.086647783853346,132.5039389151482,215.4834641560348,52.26757683220741,True,True,DBSCAN_Outlier,1036 Ganymed (A924 Ub),"near earth,1036,1036 ganymed (a924 ub),neo,anomaly,unusual,rare",Objetos Cercanos,0.0
20001134,1134 Kepler (1929 SA),"[1134, '  1134 Kepler (1929 SA)']",NEO,,SBDB,Primary,,,,,,,,,,0.4690595488446245,15.31536228971822,,,,True,2025-08-04T16:11:00.766888,MCA,False,False,,14.37,,2.75445,2.677991440523396,1600.708325352922,1.421853983621726,3.934128897425066,332.8813466214322,5.781121388162981,275.3911260749912,True,True,DBSCAN_Outlier,1134 Kepler (1929 Sa),"1134 kepler (1929 sa),1134,neo,anomaly,unusual,rare",Objetos Cercanos,0.0
20001221,1221 Amor (1932 EA1),"[1221, '  1221 Amor (1932 EA1)']",NEO,,SBDB,Primary,,,,,,,,,,0.434592867636064,11.86862228590597,,,,True,2025-08-04T16:11:00.770184,AMO,True,False,1.0,17.37,,,1.919760465125785,971.558582235314,1.085446259412426,2.754074670839144,26.75528931172572,171.2400242447979,345.7674099765574,True,True,DBSCAN_Outlier,1221 Amor (1932 Ea1),"1221,near earth,1221 amor (1932 ea1),neo,anomaly,unusual,rare",Objetos Cercanos,0.0
20001252,1252 Celestia (1933 DG),"[1252, '  1252 Celestia (1933 DG)']",NEO,,SBDB,Primary,,,,,,,,,,0.2053955516185649,33.82616388400434,,,,True,2025-08-04T16:11:00.771552,MBA,False,False,19.037,10.73,0.215,10.636,2.697477300703913,1618.210910643532,2.143427462547276,3.25152713886055,63.52042252757199,140.796175451284,267.3116258459157,True,True,DBSCAN_Outlier,1252 Celestia (1933 Dg),"1252 celestia (1933 dg),neo,anomaly,1252,unusual,rare",Objetos Cercanos,0.0
20001301,1301 Yvonne (1934 EA),"[1301, '  1301 Yvonne (1934 EA)']",NEO,,SBDB,Primary,,,,,,,,,,0.2712683488623662,34.042069606801,,,,True,2025-08-04T16:11:00.773447,MBA,False,False,21.438,11.53,0.111,7.32,2.76564297423288,1679.935467688138,2.015411571069923,3.515874377395837,302.016264034153,161.4866759559955,336.6864978559216,True,True,DBSCAN_Outlier,1301 Yvonne (1934 Ea),"1301,1301 yvonne (1934 ea),neo,anomaly,unusual,rare",Objetos Cercanos,0.0
20001362,1362 Griqua (1935 QG1),"[1362, '  1362 Griqua (1935 QG1)']",NEO,,SBDB,Primary,,,,,,,,,,0.372972533267949,24.23826592808419,,,,True,2025-08-04T16:11:00.775773,OMB,False,False,26.936,11.24,0.082,6.907,3.21126895590183,2101.906766161589,2.013553838414403,4.408984073389257,261.647592116722,121.301813793547,101.7205379996443,True,True,DBSCAN_Outlier,1362 Griqua (1935 Qg1),"rare,1362 griqua (1935 qg1),neo,anomaly,1362,unusual",Objetos Cercanos,0.0
20001373,1373 Cincinnati (1935 QN),"[1373, '  1373 Cincinnati (1935 QN)']",NEO,,SBDB,Primary,,,,,,,,,,0.3153396613746521,38.95266186795161,,,,True,2025-08-04T16:11:00.776188,OMB,False,False,19.448,11.46,0.155,5.2834,3.417680915002491,2307.786862507232,2.339950572578994,4.495411257425988,98.90826744259805,297.4396913659287,81.406809083299,True,True,DBSCAN_Outlier,1373 Cincinnati (1935 Qn),"1373 cincinnati (1935 qn),1373,neo,anomaly,unusual,rare",Objetos Cercanos,0.0
