spkid,full_name,pdes,a,e,i,w,om,ma,per,q,ad,H,diameter,albedo,rot_per,class,neo,pha
20001671,  1671 Chaika (1934 TD),1671,2.590258462663714,0.2542047713367324,3.970036329326164,250.4769575272834,177.0067449583655,240.4426741195022,1522.695550824132,1.931802402459249,3.24871452286818,12.14,9.374,0.291,3.7718,MBA,N,N
20001672,  1672 Gezelle (1935 BD),1672,3.167817887902041,0.2787878882971159,1.068343471834147,255.0584654595321,181.3111678878828,312.6583058793244,2059.390652304001,2.284668628424001,4.050967147380081,11.49,26.205,0.066,40.72,MBA,N,N
20001673,  1673 van Houten (1937 TH),1673,3.097461706526069,0.1832189533634528,3.592492556401903,209.2969030229932,208.0068900729367,347.3800803778689,1991.165440239565,2.529948014572988,3.664975398479149,12.2,20.733,0.088,,MBA,N,N
20001674,  1674 Groeneveld (1938 DS),1674,3.193982760108096,0.1273016342249951,2.664296978507501,4.642553600073575,95.5468190533381,169.2019340759544,2084.957844014566,2.787383535059875,3.600581985156317,11.29,32.386,0.063,8.02,MBA,N,N
20001675,  1675 Simonida (1938 FB),1675,2.233236803145139,0.1249090442950587,6.789407830071178,50.33511451147257,30.07962030062082,125.5549604420839,1218.991258637675,1.954285328379727,2.51218827791055,11.89,11.08,0.248,5.2885,MBA,N,N
20001676,  1676 Kariba (1939 LC),1676,2.235822267147893,0.1873031762944947,6.123078315233535,205.1848403708491,54.51209055497979,245.899129882025,1221.108747940604,1.817045654881134,2.654598879414651,12.81,7.552,0.283,3.1673,MBA,N,N
20001677,  1677 Tycho Brahe (1940 RO),1677,2.531639668264611,0.1067952302050125,14.85940546247662,317.6116504951293,337.8637691488128,47.0736650768892,1471.300101377637,2.26127262709615,2.802006709433071,11.7,11.784,0.221,3.848,MBA,N,N
20001678,  1678 Hveen (1940 YH),1678,3.162313461446252,0.109112953127094,10.18009041555507,119.474625506069,351.3954139142187,355.4209157879836,2054.025363444017,2.817264100954288,3.507362821938215,11.02,42.665,0.035,5.987,MBA,N,N
20001679,  1679 Nevanlinna (1941 FR),1679,3.118888538057404,0.1524554592020914,17.9691461210305,89.46902350805642,177.3980903031907,18.71252101415623,2011.8620955076,2.643396953787723,3.594380122327084,10.63,52.686,0.037,17.92,MBA,N,N
20001680,  1680 Per Brahe (1942 CH),1680,2.72445293222965,0.1817130507027151,4.259921672954282,158.0357182321396,83.32571349586544,112.3269281946389,1642.545432839983,2.229384278418243,3.219521586041058,11.22,13.96,0.3,3.428,MBA,N,N
20001681,  1681 Steinmetz (1948 WE),1681,2.697517900878137,0.2039073460975346,7.207865492305543,1.003199953160072,94.30354603469272,73.04017444510227,1618.247444718592,2.147474184659484,3.24756161709679,11.39,16.159,0.161,8.99917,MBA,N,N
20001682,  1682 Karel (1949 PH),1682,2.238127722110668,0.1922590211627074,4.027843921797837,9.873604826039273,325.6589166495012,210.474905167782,1222.997943380141,1.807827477020551,2.668427967200785,12.7,7.267,0.278,3.37485,MBA,N,N
20001683,  1683 Castafiore (1950 SL),1683,2.733747151456337,0.1780884764451263,12.47417578663365,346.8129150390519,326.5199793955907,221.1149852900535,1650.957684831971,2.246898286267274,3.2205960166454,11.73,21.159,0.16,13.931,MBA,N,N
20001684,  1684 Iguassu (1951 QE),1684,3.088865944919852,0.1334812840497643,3.672423377931281,155.658707678618,104.9899142178565,258.4633521842311,1982.882672666781,2.676560152334361,3.501171737505342,10.99,30.21,0.093,6.4156,MBA,N,N
20001685,  1685 Toro (1948 OA),1685,1.367883881478552,0.4360388253134502,9.381908106861054,127.2785904967224,274.20849457819,319.4620613496753,584.3489593438653,0.7714334006334416,1.964334362323663,14.28,3.4,0.31,10.1995,APO,Y,N
20001686,  1686 De Sitter (1935 SR1),1686,3.164460681439413,0.1584834062079231,0.6159608553044886,294.592661598112,6.3213685623424,28.33179644500411,2056.11775227835,2.662946173833849,3.665975189044976,11.18,29.661,0.088,11.292,MBA,N,N
20001687,  1687 Glarona (1965 SC),1687,3.167089775493863,0.168090589278233,2.630532485333813,317.3014798901141,93.46134951101754,192.1570143156311,2058.680676963692,2.634731788834033,3.699447762153693,10.76,37.85,0.141,6.498,MBA,N,N
20001688,  1688 Wilkens (1951 EQ1),1688,2.618188376418109,0.2411959286440515,11.75789329335041,42.34499486768369,245.7317626481756,90.72565867459936,1547.389916804969,1.986691999602882,3.249684753233336,12.75,16.239,0.044,7.248,MBA,N,N
20001689,  1689 Floris-Jan (1930 SO),1689,2.449895643166202,0.2061714205986319,6.375869837571329,265.0287916622534,123.1306984400844,219.0659986826985,1400.618327470679,1.944797178096227,2.954994108236177,11.78,13.743,0.175,145.0,MBA,N,N
20001690,  1690 Mayrhofer (1948 VB),1690,3.039295421079448,0.09551625046607488,13.05521412418221,154.870323965741,230.2438192609749,187.0084442225946,1935.342351789358,2.748993318399229,3.329597523759667,11.06,33.81,0.056,22.194,MBA,N,N
20001691,  1691 Oort (1956 RB),1691,3.161425541725488,0.1776272005683662,1.086875763132144,232.6327030703749,174.5499133994442,11.15756868351336,2053.1603251009,2.599870372943459,3.722980710507516,10.98,33.644,0.065,10.2705,MBA,N,N
20001692,  1692 Subbotina (1936 QD),1692,2.786935188237241,0.1362832519101323,2.427068891543163,111.8191945390104,199.5541090785773,35.82937655368892,1699.373065192378,2.407122597921493,3.166747778552988,11.42,36.075,0.049,9.2457,MBA,N,N
20001693,  1693 Hertzsprung (1935 LA),1693,2.797242227946189,0.2723166527116023,11.93453213472133,234.8075222677241,69.9530177718366,34.39524902353784,1708.80907056766,2.035506587608338,3.55897786828404,11.29,37.772,0.051,8.825,MBA,N,N
20001694,  1694 Kaiser (1934 SB),1694,2.394853081358699,0.2575844284742074,11.08564145093195,356.3334482797796,13.31758033669345,149.2659343938537,1353.682268639813,1.777976219117224,3.011729943600174,12.61,15.678,0.166,13.02,MBA,N,N
20001695,  1695 Walbeck (1941 UO),1695,2.784146894145343,0.2888915732487476,16.68552002294732,139.564805769322,218.3717865427936,15.41189011384867,1696.823400671476,1.97983031774008,3.588463470550605,12.57,18.953,0.042,5.1607,MBA,N,N
20001696,  1696 Nurmela (1939 FF),1696,2.261790159468058,0.09856139560313604,6.037971280406718,165.7790554861699,20.98528270747152,109.0856541048678,1242.444197611101,2.038864964789446,2.484715354146669,13.12,9.232,0.155,3.1587,MBA,N,N
20001697,  1697 Koskenniemi (1940 RM),1697,2.374230028063709,0.1170479434149832,5.661616448586893,91.96307000122356,331.571714865403,353.9223147299494,1336.23430453054,2.096331286084754,2.652128770042663,13.08,11.245,0.116,2.3923,MBA,N,N
20001698,  1698 Christophe (1934 CS),1698,3.160959339469309,0.1091044941661917,1.494264694872327,133.2822937260739,26.68521694695875,70.41158108802934,2052.706185342952,2.816084469656611,3.505834209282007,11.49,26.234,0.085,,MBA,N,N
20001699,  1699 Honkasalo (1941 QD),1699,2.210908827504609,0.1663286943454321,1.973036147931607,51.77142402722475,273.4690673989693,175.7594419367345,1200.755756697182,1.843171248908977,2.578646406100241,12.51,8.345,0.277,11.1159,MBA,N,N
20001700,  1700 Zvezdara (1940 QC),1700,2.360568721894439,0.2255689424905002,4.512260826049991,15.44380369232426,356.8088766953013,101.1843273243683,1324.717883758323,1.828097731620558,2.893039712168319,12.46,20.176,0.045,9.114,MBA,N,N
20001701,  1701 Okavango (1953 NJ),1701,3.160509033139217,0.1925487381167763,16.28387839924173,259.2896903776474,61.15940555786984,229.4459090372138,2052.267562015958,2.551957007001588,3.769061059276846,10.62,19.461,0.217,13.204,MBA,N,N
20001702,  1702 Kalahari (A924 NC),1702,2.858332552138639,0.1422982976396698,9.95771338699346,241.354008411851,103.8253229,280.3441515989861,1765.09286667389,2.451596695881257,3.26506840839602,11.04,34.645,0.065,21.153,MBA,N,N
20001703,  1703 Barry (1930 RB),1703,2.214619081490183,0.172023081456443,4.520711727316383,213.2883697675274,112.2169042857136,272.5556881854428,1203.779610970175,1.833653482840005,2.595584680140362,12.08,9.211,0.33,107.1,MBA,N,N
20001704,  1704 Wachmann (A924 EE),1704,2.222306701801518,0.0878822260300155,0.971196259517446,281.5438036254398,259.231058089009,179.1444074051139,1210.053078311616,2.027005441925779,2.417607961677258,12.89,6.618,0.193,3.314,MBA,N,N
20001705,  1705 Tapio (1941 SL1),1705,2.299340223710084,0.2447445956669802,7.711208480709209,156.4515817155175,188.5738954486268,7.182484565762107,1273.512705026031,1.736589130357335,2.862091317062832,13.31,11.969,0.089,25.44,MBA,N,N
20001706,  1706 Dieckvoss (1931 TS),1706,2.126008568683142,0.1142988018282187,1.875511430119158,339.2358218013725,279.6544216937592,167.7176911026218,1132.259420485382,1.883008336606132,2.369008800760151,13.1,6.111,0.359,2.58944,MBA,N,N
20001707,  1707 Chantal (1932 RL),1707,2.218851403917166,0.1704098639065479,4.031937669323957,43.0238819451019,6.064062262534994,333.8122076606236,1207.232044518614,1.840737238146789,2.596965569687543,12.61,7.459,0.306,79.74,MBA,N,N
20001708,  1708 Polit (1929 XA),1708,2.910706923337794,0.3081207615829777,6.044622231658471,248.538587343954,192.1908027992553,49.52304753062177,1813.828181273305,2.013857689374107,3.807556157301481,11.74,28.706,0.042,7.52,MBA,N,N
