spkid,full_name,pdes,a,e,i,w,om,ma,per,q,ad,H,diameter,albedo,rot_per,class,neo,pha
20054598, 54598 Bienor (2000 QC243),54598,16.59379145205425,0.204976987794259,20.7270095597035,152.2896397161207,337.791035598238,345.993792185549,24689.76000056171,13.19244606412604,19.99513683998245,7.46,187.5,0.05,9.14,CEN,N,N
20055576, 55576 Amycus (2002 GB10),55576,24.94456447591183,0.391973702736273,13.36281579553152,238.745735366541,315.5100454999888,64.54884073671684,45505.33495040082,15.16695117514497,34.72217777667868,7.49,100.9,0.18,9.76,CEN,N,N
20060558, 60558 Echeclus (2000 EC98),60558,10.75889892496403,0.4549144897877724,4.341186005161505,163.5262901552297,173.2445533990301,102.4321662859707,12889.91840353754,5.864519909835805,15.65327794009225,9.2,59.0,0.077,26.802,CEN,N,N
20063252, 63252 (2001 BL41),63252,9.88125732191612,0.2964578820506304,12.4061150211375,129.6473133794164,280.4862268000264,326.4367221261787,11345.31975514611,6.951880704263584,12.81063393956866,11.42,,,,CEN,N,N
20083982, 83982 Crantor (2002 GO9),83982,19.39010304786782,0.2746406495367024,12.78606424332665,92.65004377557202,117.4753560084952,97.11488707955368,31186.64111237079,14.06479255221781,24.71541354351783,8.91,,,13.94,CEN,N,N
20088269, 88269 (2001 KF77),88269,25.93411674893089,0.2367084722477205,4.35913620529648,266.6130661379622,14.63954241277713,21.45161845385739,48239.81340676197,19.79529159419744,32.07294190366435,9.49,,,,CEN,N,N
20095626, 95626 (2002 GZ32),95626,22.99696175231632,0.2171445153983074,15.04628925162356,155.3761047233415,107.2948758509308,18.71820747101965,40281.35965129733,18.00329763697619,27.99062586765646,7.19,230.5,0.053,5.8,CEN,N,N
20119315,119315 (2001 SQ73),119315,17.50407317817759,0.1726451506979302,17.4345078088996,304.688969689629,16.16673302441733,158.3899664534811,26748.97268723602,14.48207982650352,20.52606652985166,9.46,,,,CEN,N,N
20119976,119976 (2002 VR130),119976,24.01586265095868,0.3855540483873658,3.527159002521687,219.1753598810753,181.8067190152599,60.45699579542759,42987.84888876973,14.75644958036663,33.27527572155073,11.23,,,,CEN,N,N
20120061,120061 (2003 CO1),120061,20.67073805960327,0.472141191886275,19.75968329566555,115.9373592914242,78.58589766924246,71.69146956849605,34326.72749010098,10.9112311549732,30.43024496423335,9.08,82.0,0.072,10.0,CEN,N,N
20121725,121725 Aphidas (1999 XX143),121725,17.93321414664454,0.4624810392178811,6.769525185280931,216.0931660201581,103.6890765973442,244.3006384219287,27738.66966987272,9.639442631587569,26.22698566170152,8.88,,,,CEN,N,N
20136204,136204 (2003 WL7),136204,20.19168357002808,0.2594295401035404,11.16969705209257,70.98307433012145,4.656025728875725,55.48534492822199,33140.3601950464,14.95336438753948,25.43000275251667,8.72,118.0,0.046,8.24,CEN,N,N
20144908,144908 (2004 YH32),144908,8.143410325766016,0.5659330077036363,79.16715685742136,348.8925526048948,47.76166215027256,305.2246051654537,8488.049515501456,3.534785627140406,12.75203502439163,13.11,,,,CEN,N,N
20145486,145486 (2005 UJ438),145486,17.57341271411905,0.5324709098259381,3.798246919475806,207.9310469530513,262.8859119911776,72.50967265475019,26908.07253991048,8.216081657485372,26.93074377075274,10.87,20.8,0.215,8.32,CEN,N,N
20145627,145627 (2006 RY102),145627,6.419178310528238,0.2906941397570385,19.47524019985865,343.8524818371373,91.9248045417005,9.477054668835624,5940.425945530363,4.553160793602192,8.285195827454285,11.13,,,,CEN,N,N
20148975,148975 (2001 XA255),148975,28.60851382083435,0.6741242714671474,12.65044640247964,90.11065222110877,105.9705594118473,35.08526377029889,55890.93471962467,9.322820283606578,47.89420735806213,10.88,37.7,0.041,,CEN,N,N
20154783,154783 (2004 PA44),154783,14.25792965232728,0.7561810788427645,3.272785643696662,73.23203244803389,212.31480736,141.4271978196816,19664.50996096815,3.476353025766195,25.03950627888837,13.81,,,,CEN,N,N
