spkid,full_name,pdes,prefix,a,e,i,w,om,tp,per,q,ad,M1,M2,K1,K2,class,data_arc
1000985,     C/1917 F1 (Mellish),1917 F1,C,27.39843681521469,0.993058227782871,32.68731667605889,121.3136763048433,88.67459867129705,2421329.675420974762,52382.60653657028,0.1901937074766215,54.60667992295275,11.0,,16.0,,HTC,38
1000024,     C/1921 H1 (Dubiago),1921 H1,C,17.10222288614106,0.934738163936042,22.3454025246227,97.48133618992104,67.12734511237147,2422814.881049042156,25833.14431074962,1.11612246632461,33.08832330595752,,,,,HTC,40
1001031,     C/1937 D1 (Wilk),1937 D1,C,31.97282486261022,0.9806432597192334,26.01402274001816,31.45795050367359,58.27003729562459,2428586.026648192219,66034.3549738252,0.6188896669079835,63.32676005831245,,,,,HTC,59
1001045,     C/1942 EA (Vaisala),1942 EA,C,17.6099437929709,0.9268325022462542,37.86476012545564,335.5665959717819,172.2862886098324,2430406.623466271070,26992.01965990982,1.288475522915787,33.931412063026,,,,,HTC,3
1001109,     C/1960 Y1 (Candy),1960 Y1,C,15.02537908325066,0.9303366228665144,151.174695204052,138.7648379699949,177.2932531478493,2437341.466773623264,21273.38420390442,1.046718649650078,29.00403951685124,,16.5,,5.0,HTC,8
1000007,     C/1984 A1 (Bradfield 1),1984 A1,C,28.46797339795019,0.9523151691976424,51.80056575868125,219.1648629554008,356.8583433871945,2445696.296572484764,55479.59139602257,1.357490494767276,55.57845630113309,,,,,HTC,142
1001234,     C/1989 A3 (Bradfield),1989 A3,C,19.19513367253992,0.9780924999204414,83.05927426289587,194.7699836737965,28.4378141110794,2447500.744406973560,30717.4484508297,0.4205173924583054,37.96974995262154,,,,,HTC,53
1000129,     C/1991 L3 (Levy),1991 L3,C,13.81307682192355,0.9288584031320763,19.19010771073673,41.47881846837238,329.4315971723207,2448445.697440846998,18751.41595119838,0.982684342770944,26.64346930107617,8.9,14.5,14.5,5.0,HTC,587
1000214,     C/1998 G1 (LINEAR),1998 G1,C,12.10033562322811,0.8236926083121225,109.7147269708957,236.3223182650248,341.3836647836291,2451134.124335551667,15374.27168625359,2.133378612279255,22.06729263417696,13.8,,4.5,,HTC,76
1000245,     C/1998 Y1 (LINEAR),1998 Y1,C,22.95631146081127,0.9238993762408438,28.10815562674253,339.8436273745078,98.85872325392678,2451139.081639607719,40174.60260135587,1.746989621377203,44.16563330024533,14.0,,10.0,,HTC,115
1000249,     C/1999 E1 (Li),1999 E1,C,16.34065650865052,0.7601059555951749,46.88123230278046,329.76818734,127.8343456351106,2451210.280157959754,24126.96411507765,3.920026178090202,28.76128683921084,10.6,,4.5,,HTC,843
1000266,     C/1999 G1 (LINEAR),1999 G1,C,28.26669821096978,0.8567729326684609,76.56819680473664,136.1254239225012,23.46205703098434,2451027.144278335639,54892.25221702197,4.048556287902865,52.48484013403669,8.0,12.5,10.0,5.0,HTC,51
1000257,     C/1999 K4 (LINEAR),1999 K4,C,17.26537558586741,0.9164549465361386,120.7739936443832,8.794388053318583,241.4792759211496,2451314.955365642510,26203.69117097474,1.442436726394941,33.08831444533989,18.5,,10.0,,HTC,5
1000272,     C/1999 S3 (LINEAR),1999 S3,C,18.94238947528489,0.8999627638680425,70.56090888444659,44.12816462432897,11.8781953617595,2451491.515653370344,30112.76048042363,1.894944288842581,35.98983466172721,4.8,13.3,29.25,5.0,HTC,158
1000297,     C/2000 D2 (LINEAR),2000 D2,C,17.27973016442899,0.8670343838659209,156.9919263806669,117.6826791764883,235.8871533656938,2451612.113820358977,26236.37691646441,2.297609967943932,32.26185036091404,13.7,16.5,10.0,5.0,HTC,34
1000302,     C/2000 G2 (LINEAR),2000 G2,C,14.26508360682623,0.8095390291087013,170.4791763959381,101.7647038938473,328.3849260720152,2451580.713755038649,19679.31189829489,2.716941673601671,25.81322554005078,12.8,15.4,10.0,5.0,HTC,29
1000373,     C/2001 OG108 (LONEOS),2001 OG108,C,13.30009309483866,0.9252600805559724,80.24505922964728,116.4195105221841,10.55528990853371,2452348.706071054016,17716.60278334048,0.9940478865063088,25.60613830317101,13.3,,11.5,,HTC,340
1000362,     C/2001 W2 (BATTERS),2001 W2,C,17.92855034426878,0.9413747812522384,115.9130793147368,142.0857916096556,113.3558524952364,2452267.418309224297,27727.84958525995,1.051065185763014,34.80603550277455,12.1,,10.75,,HTC,198
1000375,     C/2002 B1 (LINEAR),2002 B1,C,9.918052701176524,0.7710105513954233,51.02134052438205,76.1583989845243,58.1854245660213,2452384.505324267881,11408.74949600298,2.271129419273545,17.5649759830795,6.9,15.8,24.25,5.0,HTC,204
1000451,     C/2002 CE10 (LINEAR),2002 CE10,C,9.815897054166877,0.7914852430666357,145.4586918350175,126.1881500982952,147.4439431163391,2452812.598741099300,11232.93948909297,2.046759388332533,17.58503472000122,13.4,,5.0,,HTC,894
1000395,     C/2002 K4 (NEAT),2002 K4,C,17.52827532150834,0.8422824102859102,94.0627690063037,24.43175554385731,308.0990069766754,2452468.473845181117,26804.46887281993,2.764517335553257,32.29203330746341,11.4,14.3,10.0,5.0,HTC,128
1000429,     C/2003 F1 (LINEAR),2003 F1,C,20.66237975486963,0.8060340151788754,70.22151299655852,121.188131877479,87.4876517094989,2452818.960084713269,34305.90934778772,4.007798837901356,37.31696067183791,8.3,11.8,10.0,5.0,HTC,179
1000452,     C/2003 R1 (LINEAR),2003 R1,C,19.70168491968428,0.8933144890077785,149.1956325485743,302.6901119594116,356.6890631748591,2452820.117012054727,31941.36568069888,2.101884323064261,37.3014855163043,14.6,,7.5,,HTC,353
1000461,     C/2003 U1 (LINEAR),2003 U1,C,22.90017203583503,0.9215850089213874,164.4745303089487,278.3837925577807,322.7631070269966,2452946.897875187172,40027.32286610375,1.795716785888698,44.00462728578137,15.2,17.2,10.0,5.0,HTC,63
1000466,     C/2003 W1 (LINEAR),2003 W1,C,25.16966792851129,0.9343486987376368,78.07597110323177,113.2886974751964,256.7426339686996,2452952.963036169720,46122.69286531598,1.652421451848338,48.68691440517424,16.4,,4.5,,HTC,89
1001655,     C/2005 N5 (Catalina),2005 N5,C,28.68675731408546,0.9432700221966782,21.37874509409915,207.7652326844669,156.4113349148192,2453605.181560548400,56120.3816623206,1.627399105677347,55.74611552249358,16.0,,4.5,,HTC,191
1001658,     C/2005 O2 (Christensen),2005 O2,C,23.70570180739585,0.8593766054421174,148.8920505164611,263.8338908769753,280.7713953483397,2453621.945401328306,42157.77217773815,3.333576258532938,44.07782735625876,5.2,14.0,20.0,5.0,HTC,359
1001673,     P/2005 T4 (SWAN),2005 T4,P,9.32402967064034,0.930352025978477,160.036223032564,41.44406757900214,25.42251055284711,2453654.037520388410,10399.29497600001,0.6493997762766682,17.99865956500402,15.4,,10.0,,HTC,17
1002409,     P/2006 HR30 (Siding Spring),2006 HR30,P,7.817544282682654,0.8431185484711656,31.88449910940493,117.4138763909375,309.952159808177,2454102.782160787813,7983.695267610604,1.226427694458195,14.40866087090711,13.9,,4.5,,HTC,1034
1002992,     C/2008 R3 (LINEAR),2008 R3,C,18.41817649651357,0.8963515096364288,43.23785261553327,84.16042528214604,270.553144162167,2454792.992903250784,28871.43514906536,1.90901618911344,34.9273368039137,13.4,,8.5,,HTC,176
