spkid,full_name,pdes,a,e,i,w,om,ma,per,q,ad,H,diameter,albedo,rot_per,class,neo,pha
20186125,186125 (2001 TM150),186125,5.185923228439705,0.0544635191909745,13.15541953756307,322.6481555445934,67.5940460273328,0.2602846343608406,4313.576969101001,4.903479599164659,5.468366857714752,12.91,,,,TJN,N,N
20186128,186128 (2001 TP154),186128,5.169138232690656,0.01458143470842292,12.24290338285545,18.5829046858357,78.53273746739457,281.3788293432313,4292.651643875282,5.093764781051865,5.244511684329448,12.97,14.491,0.077,,TJN,N,N
20186138,186138 (2001 TK206),186138,5.194999985769325,0.0066034690122133,5.115583516353696,227.848104547092,203.829406550537,289.1033794020628,4324.906798962457,5.160694964344849,5.2293050071938,13.36,,,,TJN,N,N
20186272,186272 (2001 YZ140),186272,5.223698070608966,0.1247813874623805,8.179407123794206,215.8999577495027,82.22785391786573,92.5546222546092,4360.793554142347,4.571877777673819,5.875518363544112,12.88,10.86,0.137,,TJN,N,N
20186544,186544 (2002 WT23),186544,5.166065556247801,0.09184512039366996,9.714382679927253,204.8737989830546,66.89140583482187,115.5587101514242,4288.824709283187,4.69158764327263,5.640543469222972,12.98,11.744,0.089,,TJN,N,N
20187018,187018 (2004 YC25),187018,5.153953756171647,0.05519899207553167,10.4813053396792,190.3096605634719,124.2462189881365,73.8217832531546,4273.750879330836,4.869460703627071,5.438446808716222,13.66,10.419,0.054,,TJN,N,N
20187019,187019 (2004 YU36),187019,5.247941871676419,0.05542814410557573,12.16823003506263,272.1145703255236,135.5118928199292,335.2395296473188,4391.187189818356,4.957058193355453,5.538825549997385,12.98,,,,TJN,N,N
20187020,187020 (2005 AZ63),187020,5.111894251951336,0.06464512976899088,9.384694587759594,194.424559919181,128.1893729605073,70.29400495893897,4221.543012527337,4.781435184668584,5.442353319234089,13.38,10.412,0.078,,TJN,N,N
20187021,187021 (2005 AU66),187021,5.208310140070478,0.1387491009649445,10.11078416613513,162.0108710095549,128.1698163920218,90.03525847156513,4341.538762384763,4.485661790589095,5.930958489551862,12.82,12.807,0.082,,TJN,N,N
20187024,187024 (2005 BN13),187024,5.19921928207041,0.03218549113010528,13.72348045750891,229.6688053040029,135.886337896841,33.45330048432328,4330.176799348779,5.031879855983861,5.36655870815696,12.96,,,,TJN,N,N
20187436,187436 (2005 WN57),187436,5.309745682278646,0.1130872461156746,20.43898773744843,154.0119024279789,155.9587496181243,72.47554773270515,4468.986137656184,4.70928116549516,5.910210199062131,12.68,16.923,0.056,,TJN,N,N
20187456,187456 (2005 XK5),187456,5.256759255438983,0.09988493561547032,7.709739180025246,141.3114739644636,165.6437180880304,98.33597845771504,4402.258684833654,4.731688195663432,5.781830315214533,13.31,13.578,0.05,,TJN,N,N
20187463,187463 (2005 XX106),187463,5.187338247589018,0.02644693304497134,5.878630424277772,89.67360223551304,155.6276871155717,147.2147847507968,4315.342578644078,5.050149060273412,5.324527434904623,13.03,,,4.84,TJN,N,N
20187469,187469 (2006 BL53),187469,5.18918278120982,0.1114729904063611,18.37252739189594,139.9491790314118,151.5567714976509,106.7495333315347,4317.644482330496,4.610729058823163,5.767636503596477,12.73,13.757,0.078,,TJN,N,N
20187470,187470 (2006 BH59),187470,5.209737038540675,0.06298725248020808,10.85420917293734,149.6754198163258,151.1126241380823,74.56420417937541,4343.323033808411,4.881590016338622,5.537884060742727,13.45,,,,TJN,N,N
20187471,187471 (2006 BV72),187471,5.252763446401865,0.06624479482938642,8.34932905949899,219.7425988823704,105.07354483,27.68961434824305,4397.240219753259,4.904795209607673,5.600731683196058,13.54,,,,TJN,N,N
20187472,187472 (2006 BP73),187472,5.242168096662147,0.1877916408515158,5.940494433663258,258.3259623885847,15.11378105030414,100.6879469800966,4383.942420528688,4.257732748170495,6.226603445153798,13.44,9.929,0.086,,TJN,N,N
