id,name,englishName,isPlanet,moons,semimajorAxis,perihelion,aphelion,eccentricity,inclination,mass,vol,density,gravity,escape,meanRadius,aroundPlanet,discoveredBy,discoveryDate,axialTilt,avgTemp,mainAnomaly,argPeriapsis,longAscNode,bodyType,mass_value,mass_exponent,mass_kg,vol_value,vol_exponent,vol_km3,moon_count
thalassa,Thalassa,Thalassa,False,,50075,0,0,0.0002,0.21,{},,1.0,0.013,0.0,41.0,{},Richard J. Terrile,18/09/1989,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
despina,Despina,Despina,False,,52526,0,0,0.0001,0.07,{},,1.0,0.023,0.0,75.0,{},Stephen P. Synnott,28/07/1989,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
galatee,Galatée,Galatea,False,,61953,0,0,0.0001,0.05,{},,1.0,0.03,0.0,88.0,{},Stephen P. Synnott,28/07/1989,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
larissa,Larissa,Larissa,False,,73548,0,0,0.0014,0.2,{},,1.0,0.034,0.0,97.0,{},"Harold J. Reitsema, William B. Hubbard, Larry A. Lebofsky, David J. Tholen",24/05/1981,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
protee,Protée,Proteus,False,,117647,0,0,0.0004,0.04,{},,1.0,0.075,0.0,210.0,{},"Stephen P. Synnott, Bradford A. Smith",16/06/1989,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
halimede,Halimède,Halimede,False,,15730000,0,0,0.571,134.1,{},,1.0,0.01,0.0,30.0,{},"Matthew J. Holman, John J. Kavelaars, Tommy Grav, Wesley C. Fraser, Dan Milisavljevic",14/08/2002,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
psamathee,Psamathée,Psamathe,False,,46700000,0,0,0.45,137.4,{},,1.0,0.0,0.0,20.0,{},Scott S. Sheppard,19/08/2003,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
sao,Sao,Sao,False,,22420000,0,0,0.293,48.5,{},,1.0,0.01,0.0,20.0,{},"Matthew J. Holman, John J. Kavelaars, Tommy Grav, Wesley C. Fraser, Dan Milisavljevic",14/08/2002,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
laomedie,Laomédie,Laomedeia,False,,23570000,0,0,0.424,34.7,{},,1.0,0.01,0.0,20.0,{},"Matthew J. Holman, John J. Kavelaars, Tommy Grav, Wesley C. Fraser, Dan Milisavljevic",13/08/2002,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
neso,Néso,Neso,False,,48390000,0,0,0.495,132.6,{},,1.0,0.0,0.0,30.0,{},Matthew J. Holman,14/08/2002,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
charon,Charon,Charon,False,,19591,19587,19595,0.0002,0.08,{},{},1.0,0.0,0.0,606.0,{},James W. Christy,13/04/1978,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
nix,Nix,Nix,False,,48694,0,0,0.002,0.133,{},,1.0,0.0,0.0,44.0,{},Hubble Space Telescope Pluto Companion Search Team,15/05/2005,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
hydra,Hydra,Hydra,False,,64738,0,0,0.005,0.242,{},,1.0,0.0,0.0,36.0,{},Hubble Space Telescope Pluto Companion Search Team,15/05/2005,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
namaka,Namaka,Namaka,False,,25657,0,0,0.249,113.0,{},,1.0,0.0,0.0,85.0,{},Michael E. Brown,30/06/2005,0.0,0,0.0,0.0,0.0,Moon,0,0,0,0,0,0,0
